INFO  2023/03/12 16:29:24 WebService           ChkUploadStat        來源:172.16.10.6 172.16.10.6 0001
INFO  2023/03/12 16:29:25 WebService           ChkUploadStat        檢查上傳狀態(2023-03-12):SELECT sn FROM WP_PosToDbDate WHERE ptdDate='2023-03-12'
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      來源:172.16.10.6 172.16.10.6 0001
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      上傳銷售日期:20230312~20230312 取得銷售主檔筆數:51 取得銷售副檔筆數:94
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      刪除POS銷售主檔:DELETE FROM WP_OutStockPos WHERE LEFT(OutStkId,8)>='20230312' AND LEFT(OutStkId,8)<='20230312' AND machId='0001'
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      [{"PayKId":"01","PayKName":"現金","PayAmt":808.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      寫入POS銷售主檔:INSERT INTO WP_OutStockPos(OutStkId,OutStkDate,amount,tax,amtNoneTax,reciptNo,companyId,isTax,isBack,isDel,empId,timeCreate,timeUpdate,memo,memSn,outType,outLeft,payKind,amtCargo,amtCoupon,OutStkTime,PayList,machId,returnReciptNo,discount,discountShare) VALUES ('20230312000100001','2023-03-12','808','38','770','MB87448674','','Y','0','N','0000','2023-03-12','2023-03-12','','','2','0.00','1','0','0','16:44',N'[{"PayKId":"01","PayKName":"現金","PayAmt":808.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]','0001','','0','0')
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      [{"PayKId":"01","PayKName":"現金","PayAmt":18.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      寫入POS銷售主檔:INSERT INTO WP_OutStockPos(OutStkId,OutStkDate,amount,tax,amtNoneTax,reciptNo,companyId,isTax,isBack,isDel,empId,timeCreate,timeUpdate,memo,memSn,outType,outLeft,payKind,amtCargo,amtCoupon,OutStkTime,PayList,machId,returnReciptNo,discount,discountShare) VALUES ('20230312000100002','2023-03-12','18','1','17','MB87448675','','Y','0','N','0000','2023-03-12','2023-03-12','','','2','0.00','1','0','0','16:50',N'[{"PayKId":"01","PayKName":"現金","PayAmt":18.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]','0001','','0','0')
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      [{"PayKId":"01","PayKName":"現金","PayAmt":575.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      寫入POS銷售主檔:INSERT INTO WP_OutStockPos(OutStkId,OutStkDate,amount,tax,amtNoneTax,reciptNo,companyId,isTax,isBack,isDel,empId,timeCreate,timeUpdate,memo,memSn,outType,outLeft,payKind,amtCargo,amtCoupon,OutStkTime,PayList,machId,returnReciptNo,discount,discountShare) VALUES ('20230312000100003','2023-03-12','575','12','563','MB87448676','','Y','0','N','0000','2023-03-12','2023-03-12','','','2','0.00','1','0','0','16:51',N'[{"PayKId":"01","PayKName":"現金","PayAmt":575.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]','0001','','0','0')
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      [{"PayKId":"01","PayKName":"現金","PayAmt":153.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      寫入POS銷售主檔:INSERT INTO WP_OutStockPos(OutStkId,OutStkDate,amount,tax,amtNoneTax,reciptNo,companyId,isTax,isBack,isDel,empId,timeCreate,timeUpdate,memo,memSn,outType,outLeft,payKind,amtCargo,amtCoupon,OutStkTime,PayList,machId,returnReciptNo,discount,discountShare) VALUES ('20230312000100004','2023-03-12','153','0','153','MB87448677','','Y','0','N','0000','2023-03-12','2023-03-12','','','2','0.00','1','0','0','16:54',N'[{"PayKId":"01","PayKName":"現金","PayAmt":153.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]','0001','','0','0')
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      [{"PayKId":"01","PayKName":"現金","PayAmt":0.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":554.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      寫入POS銷售主檔:INSERT INTO WP_OutStockPos(OutStkId,OutStkDate,amount,tax,amtNoneTax,reciptNo,companyId,isTax,isBack,isDel,empId,timeCreate,timeUpdate,memo,memSn,outType,outLeft,payKind,amtCargo,amtCoupon,OutStkTime,PayList,machId,returnReciptNo,discount,discountShare) VALUES ('20230312000100005','2023-03-12','554','26','528','MB87448678','','Y','0','N','0000','2023-03-12','2023-03-12','','','2','0.00','1','0','0','17:09',N'[{"PayKId":"01","PayKName":"現金","PayAmt":0.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":554.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]','0001','','0','0')
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      [{"PayKId":"01","PayKName":"現金","PayAmt":180.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      寫入POS銷售主檔:INSERT INTO WP_OutStockPos(OutStkId,OutStkDate,amount,tax,amtNoneTax,reciptNo,companyId,isTax,isBack,isDel,empId,timeCreate,timeUpdate,memo,memSn,outType,outLeft,payKind,amtCargo,amtCoupon,OutStkTime,PayList,machId,returnReciptNo,discount,discountShare) VALUES ('20230312000100006','2023-03-12','180','9','171','MB87448679','','Y','0','N','0000','2023-03-12','2023-03-12','','','2','0.00','1','0','0','17:14',N'[{"PayKId":"01","PayKName":"現金","PayAmt":180.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]','0001','','0','0')
INFO  2023/03/12 16:29:27 WebService           IntoOutStockPos      [{"PayKId":"01","PayKName":"現金","PayAmt":150.0},{"PayKId":"02","PayKName":"信用卡","PayAmt":0.0},{"PayKId":"03","PayKName":"禮券","PayAmt":0.0},{"PayKId":"04","PayKName":"儲值金","PayAmt":0.0}]
